LIST OF STRUCTURAL ATTRIBUTES (SA) AND THEIR CORRELATION WEIGHTS


The total number of SMILES: in active training set NsmsA=  36  in passive training set NsmsP=  35  in calibratuion set NsmsC=  36 Nact=  0 NactSFk=  0

Hydrogen filled graph (HFG) is used in the model
SMILES is used  in the model
ID is number of SA in the completed list of SAs
N1 is the number of SMILES in active training set with SA
N2 is the number of SMILES in passive training set with SA
N3 is the number of SMILES in calibration set with SA

The number of SMILES in active training set is 36
The number of SMILES in passive training set is 35
The number of SMILES in calibration set is 36


 SAk        : CW(SAk)    :        ID  :        NA  :        NP  :        NC  : DEFECT[SAk]:  Active 
n...3...(...:         0.0:         308:           0:           1:           1:      1.0000:  FALSE
n...3.......:     -0.2627:         309:           5:           2:           4:      0.0149:  TRUE
n...3...c...:      0.3257:         310:           5:           1:           3:      0.0245:  TRUE
n...c...(...:     -0.2260:         311:          24:          26:          25:      0.0020:  TRUE
n...c.......:     -0.0480:         312:          36:          35:          36:      0.0000:  TRUE
n...c...1...:         0.0:         313:           1:           3:           4:      1.0000:  FALSE
n...c...2...:      0.0435:         314:          13:          17:          11:      0.0088:  TRUE
n...c...3...:     -0.4273:         315:          15:          15:          16:      0.0012:  TRUE
n...c...4...:      0.1787:         316:           5:           0:           2:      0.0397:  TRUE
n...c...c...:     -0.4715:         317:          24:          25:          23:      0.0021:  TRUE
n...c...n...:      0.2170:         318:           7:           6:           7:      0.0023:  TRUE
n...o...c...:         0.0:         319:           0:           2:           0:      1.0000:  FALSE
o...........:         0.0:         320:           0:           2:           0:      1.0000:  FALSE
o...c...(...:         0.0:         321:           0:           2:           0:      1.0000:  FALSE
o...c.......:         0.0:         322:           0:           2:           0:      1.0000:  FALSE
o...n.......:         0.0:         323:           0:           2:           0:      1.0000:  FALSE
o...n...1...:         0.0:         324:           0:           2:           0:      1.0000:  FALSE
s...........:      0.4702:         325:          15:          20:          15:      0.0062:  TRUE
s...1...(...:      0.0171:         326:          15:          18:          14:      0.0053:  TRUE
s...1.......:      0.1199:         327:          15:          18:          14:      0.0053:  TRUE
s...2...(...:         0.0:         328:           0:           1:           0:      1.0000:  FALSE
